pid,main_color,style
ETHFVJZUNJ4NHUQY,white,style_0
ETHFY36KJH6HZU3M,white,style_0
KTAFTMYM5NVZNFRM,orange,style_0
ETHFY36KWCPKHKYA,pink,style_0
ETHFY36K4GF3GQGY,white,style_1
ETHFYBRYZY4J4VHK,gray,style_0
ETHFYB47ZTGRQ8CQ,gray,style_1
ETHFTKKFCBBXGZSZ,pink,style_0
ETHFY36KDPSEQHBB,pink,style_0
ETHFTU7URV9GTPWN,white,style_0
ETHFY36K2HQASYHM,pink,style_0
KTAFVNGE8A5SUGAZ,white,style_0
ETHFVJZUUESUJKWQ,gray,style_0
ETHFVZG4Q6PHEN93,white,style_0
KTAFVNGENKKJNNGZ,white,style_0
ETHFW2PYKRVQJFAA,white,style_0
ETHFYB46QHB6PMYG,gray,style_1
KTAFTMYMFAH4YAG8,brown,style_0
ETHFTKKFMMKBUKRD,white,style_0
ETHFYB47HW5MHKJP,gray,style_0
ETHFVPK3ZPWCC4YX,white,style_0
ETHFW2PYNYSH92Z6,white,style_0
KTAFTMYM2VYNZACZ,black,style_0
ETHFYB47FDPG7MKY,gray,style_1
ETHFYB47YX63WZZV,gray,style_0
KTAFTMYM5NVZNFRM,orange,style_0
ETHFYB47G8RMQ4GS,gray,style_0
ETHFYB46E4NAKBBS,gray,style_1
ETHFUJAFH4EB2UGG,pink,style_0
ETHFYB46QHB6PMYG,gray,style_1
ETHFYB46QHB6PMYG,gray,style_1
ETHFYB46QHB6PMYG,gray,style_1
ETHFYB46QHB6PMYG,gray,style_1
ETHFYB46QHB6PMYG,gray,style_1
ETHFYB46QHB6PMYG,gray,style_1
ETHFYB46QHB6PMYG,gray,style_1
ETHFYB46QHB6PMYG,gray,style_1
ETHFYB46QHB6PMYG,gray,style_1
ETHFYB46QHB6PMYG,gray,style_1
ETHFYB46QHB6PMYG,gray,style_1
ETHFYB46QHB6PMYG,gray,style_1
TSHFMFXGFJ7G2ABK,gray,style_0
TSHFMFT7VASAHBH3,white,style_0
TSHF2YFPDY5RHAZF,white,style_0
SHTFYMFQN5PDZG2K,gray,style_0
TSHF5FRXKGF6A4FH,white,style_0
SHTFFJTPYXHNBHUY,white,style_0
TSHF2KH2G4XAQAF7,white,style_0
TSHF2KWHG2P4GZUU,white,style_0
TKPFWGHYHM8XYQMX,white,style_1
TKPFUGG2J4GBNFZH,white,style_1
TSHFVWCPUWY7YAPP,white,style_0
TKPFWGHYPNQYZNFW,white,style_1
TKPFWGHYBQQRJKUQ,white,style_1
SHTFA82ZG5GJBHMX,white,style_0
